"","Data","DistMethod","LinkMethod","NumClusters","RandIndex","MeanSilhouette","ClusterSilhouettes"
"50","ecmb","euclidean","single",2,0.477124183006536,0.509265069671754,"17(0.539), 1(0)"
"51","ecmb","euclidean","single",3,0.490196078431373,0.288860319950309,"16(0.325), 1(0), 1(0)"
"52","ecmb","euclidean","single",4,0.483660130718954,0.0680473677540112,"15(0.082), 1(0), 1(0), 1(0)"
"53","ecmb","euclidean","single",5,0.496732026143791,0.108383659037381,"14(0.139), 1(0), 1(0), 1(0), 1(0)"
"54","ecmb","euclidean","single",6,0.549019607843137,0.1556905725898,"12(0.205), 1(0), 2(0.172), 1(0), 1(0), 1(0)"
"55","ecmb","manhattan","complete",1,0.470588235294118,0,"None"
"56","ecmb","manhattan","complete",2,0.470588235294118,0.312494128415236,"6(0.514), 12(0.212)"
"57","ecmb","manhattan","complete",3,0.529411764705882,0.388387015068964,"6(0.496), 9(0.366), 3(0.238)"
"58","ecmb","manhattan","complete",4,0.647058823529412,0.354705624845517,"6(0.444), 6(0.42), 3(0.186), 3(0.215)"
"59","ecmb","manhattan","complete",5,0.633986928104575,0.33613291005462,"6(0.386), 6(0.42), 3(0.179), 1(0), 2(0.34)"
"60","ecmb","manhattan","complete",6,0.620915032679739,0.304609630336363,"6(0.386), 6(0.354), 2(0.188), 1(0), 1(0), 2(0.334)"
"61","ecmb","manhattan","average",1,0.470588235294118,0,"None"
"62","ecmb","manhattan","average",2,0.477124183006536,0.32510716730993,"17(0.344), 1(0)"
"63","ecmb","manhattan","average",3,0.516339869281046,0.33639397687461,"8(0.323), 9(0.386), 1(0)"
"64","ecmb","manhattan","average",4,0.516339869281046,0.346370658034957,"6(0.397), 9(0.353), 1(0), 2(0.34)"
"65","ecmb","manhattan","average",5,0.633986928104575,0.33613291005462,"6(0.386), 6(0.42), 3(0.179), 1(0), 2(0.34)"
"66","ecmb","manhattan","average",6,0.620915032679739,0.304609630336363,"6(0.386), 6(0.354), 2(0.188), 1(0), 1(0), 2(0.334)"
"67","ecmb","manhattan","single",1,0.470588235294118,0,"None"
"68","ecmb","manhattan","single",2,0.477124183006536,0.32510716730993,"17(0.344), 1(0)"
"69","ecmb","manhattan","single",3,0.516339869281046,0.132478974302283,"15(0.112), 1(0), 2(0.349)"
"70","ecmb","manhattan","single",4,0.516339869281046,0.346370658034957,"6(0.397), 9(0.353), 1(0), 2(0.34)"
"71","ecmb","manhattan","single",5,0.509803921568627,0.245913583535423,"6(0.336), 9(0.268), 1(0), 1(0), 1(0)"
"72","ecmb","manhattan","single",6,0.535947712418301,0.234328380870828,"6(0.336), 8(0.275), 1(0), 1(0), 1(0), 1(0)"
